# x        y     profile      z
2.00000    -4.33013    0.87774    0.00000
-0.50000    -3.46410    0.87652    0.00000
0.50000    -3.46410    -1.31998    0.00000
-5.00000    -4.33013    0.87587    0.00000
-4.00000    -4.33013    -1.31840    0.00000
-6.50000    -3.46410    -1.31952    0.00000
-5.50000    -3.46410    -1.31979    0.00000
-8.00000    -2.59808    1.81692    0.00000
-7.00000    -2.59808    1.81695    0.00000
-3.50000    -3.46410    -1.31862    0.00000
-2.50000    -3.46410    0.87456    0.00000
-5.00000    -2.59808    1.81692    0.00000
-4.00000    -2.59808    1.81695    0.00000
-6.50000    -1.73205    -1.31891    0.00000
-5.50000    -1.73205    -1.31859    0.00000
-2.00000    -2.59808    -0.10937    0.00000
-1.00000    -2.59808    -0.10946    0.00000
-3.50000    -1.73205    -1.31981    0.00000
-2.50000    -1.73205    0.87774    0.00000
-5.00000    -0.86603    0.87652    0.00000
-4.00000    -0.86603    -1.31998    0.00000
-9.50000    -1.73205    0.87587    0.00000
-8.50000    -1.73205    -1.31840    0.00000
-11.00000    -0.86603    -1.31952    0.00000
-10.00000    -0.86603    -1.31979    0.00000
-12.50000    -0.00000    1.81692    0.00000
-11.50000    -0.00000    1.81695    0.00000
-8.00000    -0.86603    -1.31862    0.00000
-7.00000    -0.86603    0.87456    0.00000
-9.50000    -0.00000    1.81692    0.00000
-8.50000    -0.00000    1.81695    0.00000
-11.00000    0.86603    -1.31891    0.00000
-10.00000    0.86603    -1.31859    0.00000
-6.50000    -0.00000    -0.10937    0.00000
-5.50000    -0.00000    -0.10946    0.00000
-8.00000    0.86603    -1.31981    0.00000
-7.00000    0.86603    0.87774    0.00000
-9.50000    1.73205    0.87652    0.00000
-8.50000    1.73205    -1.31998    0.00000
-14.00000    0.86603    0.87587    0.00000
-13.00000    0.86603    -1.31840    0.00000
-15.50000    1.73205    -1.31952    0.00000
-14.50000    1.73205    -1.31979    0.00000
-17.00000    2.59808    1.81692    0.00000
-16.00000    2.59808    1.81695    0.00000
-12.50000    1.73205    -1.31862    0.00000
-11.50000    1.73205    0.87456    0.00000
-14.00000    2.59808    1.81692    0.00000
-13.00000    2.59808    1.81695    0.00000
-15.50000    3.46410    -1.31891    0.00000
-14.50000    3.46410    -1.31859    0.00000
-11.00000    2.59808    -0.10937    0.00000
-10.00000    2.59808    -0.10946    0.00000
-12.50000    3.46410    -1.31981    0.00000
-11.50000    3.46410    0.87774    0.00000
-14.00000    4.33013    0.87652    0.00000
-13.00000    4.33013    -1.31998    0.00000
8.50000    -6.92820    0.87587    0.00000
9.50000    -6.92820    -1.31840    0.00000
7.00000    -6.06218    -1.31952    0.00000
8.00000    -6.06218    -1.31979    0.00000
5.50000    -5.19615    1.81692    0.00000
6.50000    -5.19615    1.81695    0.00000
10.00000    -6.06218    -1.31862    0.00000
11.00000    -6.06218    0.87456    0.00000
8.50000    -5.19615    1.81692    0.00000
9.50000    -5.19615    1.81695    0.00000
7.00000    -4.33013    -1.31891    0.00000
8.00000    -4.33013    -1.31859    0.00000
11.50000    -5.19615    -0.10937    0.00000
12.50000    -5.19615    -0.10946    0.00000
10.00000    -4.33013    -1.31981    0.00000
11.00000    -4.33013    0.87774    0.00000
8.50000    -3.46410    0.87652    0.00000
9.50000    -3.46410    -1.31998    0.00000
4.00000    -4.33013    0.87587    0.00000
5.00000    -4.33013    -1.31840    0.00000
2.50000    -3.46410    -1.31952    0.00000
3.50000    -3.46410    -1.31979    0.00000
1.00000    -2.59808    1.81692    0.00000
2.00000    -2.59808    1.81695    0.00000
5.50000    -3.46410    -1.31862    0.00000
6.50000    -3.46410    0.87456    0.00000
4.00000    -2.59808    1.81692    0.00000
5.00000    -2.59808    1.81695    0.00000
2.50000    -1.73205    -1.31891    0.00000
3.50000    -1.73205    -1.31859    0.00000
7.00000    -2.59808    -0.10937    0.00000
8.00000    -2.59808    -0.10946    0.00000
5.50000    -1.73205    -1.31981    0.00000
6.50000    -1.73205    0.87774    0.00000
4.00000    -0.86603    0.87652    0.00000
5.00000    -0.86603    -1.31998    0.00000
-0.50000    -1.73205    0.87587    0.00000
0.50000    -1.73205    -1.31840    0.00000
-2.00000    -0.86603    -1.31952    0.00000
-1.00000    -0.86603    -1.31979    0.00000
-3.50000    -0.00000    1.81692    0.00000
-2.50000    -0.00000    1.81695    0.00000
1.00000    -0.86603    -1.31862    0.00000
2.00000    -0.86603    0.87456    0.00000
-0.50000    -0.00000    1.81692    0.00000
0.50000    -0.00000    1.81695    0.00000
-2.00000    0.86603    -1.31891    0.00000
-1.00000    0.86603    -1.31859    0.00000
2.50000    -0.00000    -0.10937    0.00000
3.50000    -0.00000    -0.10946    0.00000
1.00000    0.86603    -1.31981    0.00000
2.00000    0.86603    0.87774    0.00000
-0.50000    1.73205    0.87652    0.00000
0.50000    1.73205    -1.31998    0.00000
-5.00000    0.86603    0.87587    0.00000
-4.00000    0.86603    -1.31840    0.00000
-6.50000    1.73205    -1.31952    0.00000
-5.50000    1.73205    -1.31979    0.00000
-8.00000    2.59808    1.81692    0.00000
-7.00000    2.59808    1.81695    0.00000
-3.50000    1.73205    -1.31862    0.00000
-2.50000    1.73205    0.87456    0.00000
-5.00000    2.59808    1.81692    0.00000
-4.00000    2.59808    1.81695    0.00000
-6.50000    3.46410    -1.31891    0.00000
-5.50000    3.46410    -1.31859    0.00000
-2.00000    2.59808    -0.10937    0.00000
-1.00000    2.59808    -0.10946    0.00000
-3.50000    3.46410    -1.31981    0.00000
-2.50000    3.46410    0.87774    0.00000
-5.00000    4.33013    0.87652    0.00000
-4.00000    4.33013    -1.31998    0.00000
-9.50000    3.46410    0.87587    0.00000
-8.50000    3.46410    -1.31840    0.00000
-11.00000    4.33013    -1.31952    0.00000
-10.00000    4.33013    -1.31979    0.00000
-12.50000    5.19615    1.81692    0.00000
-11.50000    5.19615    1.81695    0.00000
-8.00000    4.33013    -1.31862    0.00000
-7.00000    4.33013    0.87456    0.00000
-9.50000    5.19615    1.81692    0.00000
-8.50000    5.19615    1.81695    0.00000
-11.00000    6.06218    -1.31891    0.00000
-10.00000    6.06218    -1.31859    0.00000
-6.50000    5.19615    -0.10937    0.00000
-5.50000    5.19615    -0.10946    0.00000
-8.00000    6.06218    -1.31981    0.00000
-7.00000    6.06218    0.87774    0.00000
-9.50000    6.92820    0.87652    0.00000
-8.50000    6.92820    -1.31998    0.00000
13.00000    -4.33013    0.87587    0.00000
14.00000    -4.33013    -1.31840    0.00000
11.50000    -3.46410    -1.31952    0.00000
12.50000    -3.46410    -1.31979    0.00000
10.00000    -2.59808    1.81692    0.00000
11.00000    -2.59808    1.81695    0.00000
14.50000    -3.46410    -1.31862    0.00000
15.50000    -3.46410    0.87456    0.00000
13.00000    -2.59808    1.81692    0.00000
14.00000    -2.59808    1.81695    0.00000
11.50000    -1.73205    -1.31891    0.00000
12.50000    -1.73205    -1.31859    0.00000
16.00000    -2.59808    -0.10937    0.00000
17.00000    -2.59808    -0.10946    0.00000
14.50000    -1.73205    -1.31981    0.00000
15.50000    -1.73205    0.87774    0.00000
13.00000    -0.86603    0.87652    0.00000
14.00000    -0.86603    -1.31998    0.00000
8.50000    -1.73205    0.87587    0.00000
9.50000    -1.73205    -1.31840    0.00000
7.00000    -0.86603    -1.31952    0.00000
8.00000    -0.86603    -1.31979    0.00000
5.50000    -0.00000    1.81692    0.00000
6.50000    -0.00000    1.81695    0.00000
10.00000    -0.86603    -1.31862    0.00000
11.00000    -0.86603    0.87456    0.00000
8.50000    -0.00000    1.81692    0.00000
9.50000    -0.00000    1.81695    0.00000
7.00000    0.86603    -1.31891    0.00000
8.00000    0.86603    -1.31859    0.00000
11.50000    -0.00000    -0.10937    0.00000
12.50000    -0.00000    -0.10946    0.00000
10.00000    0.86603    -1.31981    0.00000
11.00000    0.86603    0.87774    0.00000
8.50000    1.73205    0.87652    0.00000
9.50000    1.73205    -1.31998    0.00000
4.00000    0.86603    0.87587    0.00000
5.00000    0.86603    -1.31840    0.00000
2.50000    1.73205    -1.31952    0.00000
3.50000    1.73205    -1.31979    0.00000
1.00000    2.59808    1.81692    0.00000
2.00000    2.59808    1.81695    0.00000
5.50000    1.73205    -1.31862    0.00000
6.50000    1.73205    0.87456    0.00000
4.00000    2.59808    1.81692    0.00000
5.00000    2.59808    1.81695    0.00000
2.50000    3.46410    -1.31891    0.00000
3.50000    3.46410    -1.31859    0.00000
7.00000    2.59808    -0.10937    0.00000
8.00000    2.59808    -0.10946    0.00000
5.50000    3.46410    -1.31981    0.00000
6.50000    3.46410    0.87774    0.00000
4.00000    4.33013    0.87652    0.00000
5.00000    4.33013    -1.31998    0.00000
-0.50000    3.46410    0.87587    0.00000
0.50000    3.46410    -1.31840    0.00000
-2.00000    4.33013    -1.31952    0.00000
-1.00000    4.33013    -1.31979    0.00000
-3.50000    5.19615    1.81692    0.00000
-2.50000    5.19615    1.81695    0.00000
1.00000    4.33013    -1.31862    0.00000
2.00000    4.33013    0.87456    0.00000
-0.50000    5.19615    1.81692    0.00000
0.50000    5.19615    1.81695    0.00000
-2.00000    6.06218    -1.31891    0.00000
-1.00000    6.06218    -1.31859    0.00000
2.50000    5.19615    -0.10937    0.00000
3.50000    5.19615    -0.10946    0.00000
1.00000    6.06218    -1.31981    0.00000
2.00000    6.06218    0.87774    0.00000
-0.50000    6.92820    0.87652    0.00000
0.50000    6.92820    -1.31998    0.00000
-5.00000    6.06218    0.87587    0.00000
-4.00000    6.06218    -1.31840    0.00000
-6.50000    6.92820    -1.31952    0.00000
-5.50000    6.92820    -1.31979    0.00000
-8.00000    7.79423    1.81692    0.00000
-7.00000    7.79423    1.81695    0.00000
-3.50000    6.92820    -1.31862    0.00000
-2.50000    6.92820    0.87456    0.00000
-5.00000    7.79423    1.81692    0.00000
-4.00000    7.79423    1.81695    0.00000
-6.50000    8.66025    -1.31891    0.00000
-5.50000    8.66025    -1.31859    0.00000
-2.00000    7.79423    -0.10937    0.00000
-1.00000    7.79423    -0.10946    0.00000
-3.50000    8.66025    -1.31981    0.00000
-2.50000    8.66025    0.87774    0.00000
-5.00000    9.52628    0.87652    0.00000
-4.00000    9.52628    -1.31998    0.00000
17.50000    -1.73205    0.87587    0.00000
18.50000    -1.73205    -1.31840    0.00000
16.00000    -0.86603    -1.31952    0.00000
17.00000    -0.86603    -1.31979    0.00000
14.50000    -0.00000    1.81692    0.00000
15.50000    -0.00000    1.81695    0.00000
19.00000    -0.86603    -1.31862    0.00000
20.00000    -0.86603    0.87456    0.00000
17.50000    -0.00000    1.81692    0.00000
18.50000    -0.00000    1.81695    0.00000
16.00000    0.86603    -1.31891    0.00000
17.00000    0.86603    -1.31859    0.00000
20.50000    -0.00000    -0.10937    0.00000
21.50000    -0.00000    -0.10946    0.00000
19.00000    0.86603    -1.31981    0.00000
20.00000    0.86603    0.87774    0.00000
17.50000    1.73205    0.87652    0.00000
18.50000    1.73205    -1.31998    0.00000
13.00000    0.86603    0.87587    0.00000
14.00000    0.86603    -1.31840    0.00000
11.50000    1.73205    -1.31952    0.00000
12.50000    1.73205    -1.31979    0.00000
10.00000    2.59808    1.81692    0.00000
11.00000    2.59808    1.81695    0.00000
14.50000    1.73205    -1.31862    0.00000
15.50000    1.73205    0.87456    0.00000
13.00000    2.59808    1.81692    0.00000
14.00000    2.59808    1.81695    0.00000
11.50000    3.46410    -1.31891    0.00000
12.50000    3.46410    -1.31859    0.00000
16.00000    2.59808    -0.10937    0.00000
17.00000    2.59808    -0.10946    0.00000
14.50000    3.46410    -1.31981    0.00000
15.50000    3.46410    0.87774    0.00000
13.00000    4.33013    0.87652    0.00000
14.00000    4.33013    -1.31998    0.00000
8.50000    3.46410    0.87587    0.00000
9.50000    3.46410    -1.31840    0.00000
7.00000    4.33013    -1.31952    0.00000
8.00000    4.33013    -1.31979    0.00000
5.50000    5.19615    1.81692    0.00000
6.50000    5.19615    1.81695    0.00000
10.00000    4.33013    -1.31862    0.00000
11.00000    4.33013    0.87456    0.00000
8.50000    5.19615    1.81692    0.00000
9.50000    5.19615    1.81695    0.00000
7.00000    6.06218    -1.31891    0.00000
8.00000    6.06218    -1.31859    0.00000
11.50000    5.19615    -0.10937    0.00000
12.50000    5.19615    -0.10946    0.00000
10.00000    6.06218    -1.31981    0.00000
11.00000    6.06218    0.87774    0.00000
8.50000    6.92820    0.87652    0.00000
9.50000    6.92820    -1.31998    0.00000
4.00000    6.06218    0.87587    0.00000
5.00000    6.06218    -1.31840    0.00000
2.50000    6.92820    -1.31952    0.00000
3.50000    6.92820    -1.31979    0.00000
1.00000    7.79423    1.81692    0.00000
2.00000    7.79423    1.81695    0.00000
5.50000    6.92820    -1.31862    0.00000
6.50000    6.92820    0.87456    0.00000
4.00000    7.79423    1.81692    0.00000
5.00000    7.79423    1.81695    0.00000
2.50000    8.66025    -1.31891    0.00000
3.50000    8.66025    -1.31859    0.00000
7.00000    7.79423    -0.10937    0.00000
8.00000    7.79423    -0.10946    0.00000
5.50000    8.66025    -1.31981    0.00000
6.50000    8.66025    0.87774    0.00000
4.00000    9.52628    0.87652    0.00000
5.00000    9.52628    -1.31998    0.00000
-0.50000    8.66025    0.87587    0.00000
0.50000    8.66025    -1.31840    0.00000
-2.00000    9.52628    -1.31952    0.00000
-1.00000    9.52628    -1.31979    0.00000
-3.50000    10.39230    1.81692    0.00000
-2.50000    10.39230    1.81695    0.00000
1.00000    9.52628    -1.31862    0.00000
2.00000    9.52628    0.87456    0.00000
-0.50000    10.39230    1.81692    0.00000
0.50000    10.39230    1.81695    0.00000
-2.00000    11.25833    -1.31891    0.00000
-1.00000    11.25833    -1.31859    0.00000
2.50000    10.39230    -0.10937    0.00000
3.50000    10.39230    -0.10946    0.00000
1.00000    11.25833    -1.31981    0.00000
2.00000    11.25833    0.87774    0.00000
-0.50000    12.12436    0.87652    0.00000
0.50000    12.12436    -1.31998    0.00000
