# x        y     profile      z
-1.25000    3.03109    0.25919    0.00000
-1.75000    3.89711    0.30000    0.00000
-2.25000    4.76314    0.30000    0.00000
-2.75000    5.62917    0.24352    0.00000
1.25000    0.43301    0.22088    0.00000
0.75000    1.29904    0.14817    0.00000
0.25000    2.16506    0.11662    0.00000
-0.25000    3.03109    0.14817    0.00000
-0.75000    3.89711    0.22088    0.00000
-1.25000    4.76314    0.28515    0.00000
-1.75000    5.62917    0.30000    0.00000
2.25000    0.43301    0.22088    0.00000
1.75000    1.29904    0.11662    0.00000
1.25000    2.16506    0.04309    0.00000
0.75000    3.03109    0.04309    0.00000
0.25000    3.89711    0.11662    0.00000
-0.25000    4.76314    0.22088    0.00000
-0.75000    5.62917    0.30000    0.00000
3.25000    0.43301    0.25919    0.00000
2.75000    1.29904    0.14817    0.00000
2.25000    2.16506    0.04309    0.00000
1.75000    3.03109    0.00000    0.00000
1.25000    3.89711    0.04309    0.00000
0.75000    4.76314    0.14817    0.00000
0.25000    5.62917    0.25919    0.00000
4.25000    0.43301    0.30000    0.00000
3.75000    1.29904    0.22088    0.00000
3.25000    2.16506    0.11662    0.00000
2.75000    3.03109    0.04309    0.00000
2.25000    3.89711    0.04309    0.00000
1.75000    4.76314    0.11662    0.00000
1.25000    5.62917    0.22088    0.00000
5.25000    0.43301    0.30000    0.00000
4.75000    1.29904    0.28515    0.00000
4.25000    2.16506    0.22088    0.00000
3.75000    3.03109    0.14817    0.00000
3.25000    3.89711    0.11662    0.00000
2.75000    4.76314    0.14817    0.00000
2.25000    5.62917    0.22088    0.00000
6.25000    0.43301    0.24352    0.00000
5.75000    1.29904    0.30000    0.00000
5.25000    2.16506    0.30000    0.00000
4.75000    3.03109    0.25919    0.00000
4.25000    3.89711    0.22088    0.00000
3.75000    4.76314    0.22088    0.00000
3.25000    5.62917    0.25919    0.00000
