# x        y     profile      z
-1.25000    3.03109    0.04081    0.00000
-1.75000    3.89711    0.00000    0.00000
-2.25000    4.76314    0.00000    0.00000
-2.75000    5.62917    0.05648    0.00000
1.25000    0.43301    0.07912    0.00000
0.75000    1.29904    0.15183    0.00000
0.25000    2.16506    0.18338    0.00000
-0.25000    3.03109    0.15183    0.00000
-0.75000    3.89711    0.07912    0.00000
-1.25000    4.76314    0.01485    0.00000
-1.75000    5.62917    0.00000    0.00000
2.25000    0.43301    0.07912    0.00000
1.75000    1.29904    0.18338    0.00000
1.25000    2.16506    0.25691    0.00000
0.75000    3.03109    0.25691    0.00000
0.25000    3.89711    0.18338    0.00000
-0.25000    4.76314    0.07912    0.00000
-0.75000    5.62917    0.00000    0.00000
3.25000    0.43301    0.04081    0.00000
2.75000    1.29904    0.15183    0.00000
2.25000    2.16506    0.25691    0.00000
1.75000    3.03109    0.30000    0.00000
1.25000    3.89711    0.25691    0.00000
0.75000    4.76314    0.15183    0.00000
0.25000    5.62917    0.04081    0.00000
4.25000    0.43301    0.00000    0.00000
3.75000    1.29904    0.07912    0.00000
3.25000    2.16506    0.18338    0.00000
2.75000    3.03109    0.25691    0.00000
2.25000    3.89711    0.25691    0.00000
1.75000    4.76314    0.18338    0.00000
1.25000    5.62917    0.07912    0.00000
5.25000    0.43301    0.00000    0.00000
4.75000    1.29904    0.01485    0.00000
4.25000    2.16506    0.07912    0.00000
3.75000    3.03109    0.15183    0.00000
3.25000    3.89711    0.18338    0.00000
2.75000    4.76314    0.15183    0.00000
2.25000    5.62917    0.07912    0.00000
6.25000    0.43301    0.05648    0.00000
5.75000    1.29904    0.00000    0.00000
5.25000    2.16506    0.00000    0.00000
4.75000    3.03109    0.04081    0.00000
4.25000    3.89711    0.07912    0.00000
3.75000    4.76314    0.07912    0.00000
3.25000    5.62917    0.04081    0.00000
