# x        y     profile      z
-2.12132    -1.14310    0.00000    -4.50000
-2.59272    -0.32660    0.00000    -4.83333
-2.59272    -0.32660    0.00000    -5.83333
-3.06413    0.48990    0.00000    -6.16667
3.06413    -1.95959    0.00000    6.16667
2.59272    -1.14310    0.00000    5.83333
2.59272    -1.14310    0.00000    4.83333
2.12132    -1.95959    0.00000    4.50000
2.12132    -1.95959    0.00000    3.50000
3.06413    -1.95959    0.00000    3.16667
3.06413    -1.95959    0.00000    2.16667
2.59272    -1.14310    0.00000    1.83333
2.59272    -1.14310    0.00000    0.83333
3.53553    -2.77609    0.00000    0.50000
2.12132    -0.32660    0.00000    -0.50000
3.06413    -1.95959    0.00000    -0.83333
3.06413    -1.95959    0.00000    -1.83333
2.59272    -1.14310    0.00000    -2.16667
2.59272    -1.14310    0.00000    -3.16667
3.53553    -1.14310    0.00000    -3.50000
3.53553    -2.77609    0.00000    -4.50000
3.06413    -1.95959    0.00000    -4.83333
3.06413    -1.95959    0.00000    -5.83333
2.59272    -1.14310    0.00000    -6.16667
1.64992    -1.14310    0.00000    6.16667
1.17851    -0.32660    0.00000    5.83333
1.17851    -0.32660    0.00000    4.83333
0.70711    -1.14310    0.00000    4.50000
0.70711    -1.14310    0.00000    3.50000
1.64992    -1.14310    0.00000    3.16667
1.64992    -1.14310    0.00000    2.16667
1.17851    -0.32660    0.00000    1.83333
1.17851    -0.32660    0.00000    0.83333
2.12132    -1.95959    0.00000    0.50000
0.70711    0.48990    0.00000    -0.50000
1.64992    -1.14310    0.00000    -0.83333
1.64992    -1.14310    0.00000    -1.83333
1.17851    -0.32660    0.00000    -2.16667
1.17851    -0.32660    0.00000    -3.16667
2.12132    -0.32660    0.00000    -3.50000
2.12132    -1.95959    0.00000    -4.50000
1.64992    -1.14310    0.00000    -4.83333
1.64992    -1.14310    0.00000    -5.83333
1.17851    -0.32660    0.00000    -6.16667
0.23570    -0.32660    0.00000    6.16667
-0.23570    0.48990    0.00000    5.83333
-0.23570    0.48990    0.00000    4.83333
-0.70711    -0.32660    0.00000    4.50000
-0.70711    -0.32660    0.00000    3.50000
0.23570    -0.32660    0.00000    3.16667
0.23570    -0.32660    0.00000    2.16667
-0.23570    0.48990    0.00000    1.83333
-0.23570    0.48990    0.00000    0.83333
0.70711    -1.14310    0.00000    0.50000
-0.70711    1.30639    0.00000    -0.50000
0.23570    -0.32660    0.00000    -0.83333
0.23570    -0.32660    0.00000    -1.83333
-0.23570    0.48990    0.00000    -2.16667
-0.23570    0.48990    0.00000    -3.16667
0.70711    0.48990    0.00000    -3.50000
0.70711    -1.14310    0.00000    -4.50000
0.23570    -0.32660    0.00000    -4.83333
0.23570    -0.32660    0.00000    -5.83333
-0.23570    0.48990    0.00000    -6.16667
-1.17851    0.48990    0.00000    6.16667
-1.64992    1.30639    0.00000    5.83333
-1.64992    1.30639    0.00000    4.83333
-2.12132    0.48990    0.00000    4.50000
-2.12132    0.48990    0.00000    3.50000
-1.17851    0.48990    0.00000    3.16667
-1.17851    0.48990    0.00000    2.16667
-1.64992    1.30639    0.00000    1.83333
-1.64992    1.30639    0.00000    0.83333
-0.70711    -0.32660    0.00000    0.50000
-2.12132    2.12289    0.00000    -0.50000
-1.17851    0.48990    0.00000    -0.83333
-1.17851    0.48990    0.00000    -1.83333
-1.64992    1.30639    0.00000    -2.16667
-1.64992    1.30639    0.00000    -3.16667
-0.70711    1.30639    0.00000    -3.50000
-0.70711    -0.32660    0.00000    -4.50000
-1.17851    0.48990    0.00000    -4.83333
-1.17851    0.48990    0.00000    -5.83333
-1.64992    1.30639    0.00000    -6.16667
-2.59272    1.30639    0.00000    6.16667
-3.06413    2.12289    0.00000    5.83333
-3.06413    2.12289    0.00000    4.83333
-3.53553    1.30639    0.00000    4.50000
-3.53553    1.30639    0.00000    3.50000
-2.59272    1.30639    0.00000    3.16667
-2.59272    1.30639    0.00000    2.16667
-3.06413    2.12289    0.00000    1.83333
-3.06413    2.12289    0.00000    0.83333
-2.12132    0.48990    0.00000    0.50000
-3.53553    2.93939    0.00000    -0.50000
-2.59272    1.30639    0.00000    -0.83333
-2.59272    1.30639    0.00000    -1.83333
-3.06413    2.12289    0.00000    -2.16667
-3.06413    2.12289    0.00000    -3.16667
-2.12132    2.12289    0.00000    -3.50000
-2.12132    0.48990    0.00000    -4.50000
-2.59272    1.30639    0.00000    -4.83333
-2.59272    1.30639    0.00000    -5.83333
-3.06413    2.12289    0.00000    -6.16667
3.06413    -0.32660    0.00000    6.16667
2.59272    0.48990    0.00000    5.83333
2.59272    0.48990    0.00000    4.83333
2.12132    -0.32660    0.00000    4.50000
2.12132    -0.32660    0.00000    3.50000
3.06413    -0.32660    0.00000    3.16667
3.06413    -0.32660    0.00000    2.16667
2.59272    0.48990    0.00000    1.83333
2.59272    0.48990    0.00000    0.83333
3.53553    -1.14310    0.00000    0.50000
2.12132    1.30639    0.00000    -0.50000
3.06413    -0.32660    0.00000    -0.83333
3.06413    -0.32660    0.00000    -1.83333
2.59272    0.48990    0.00000    -2.16667
2.59272    0.48990    0.00000    -3.16667
3.53553    0.48990    0.00000    -3.50000
3.53553    -1.14310    0.00000    -4.50000
3.06413    -0.32660    0.00000    -4.83333
3.06413    -0.32660    0.00000    -5.83333
2.59272    0.48990    0.00000    -6.16667
1.64992    0.48990    0.00000    6.16667
1.17851    1.30639    0.00000    5.83333
1.17851    1.30639    0.00000    4.83333
0.70711    0.48990    0.00000    4.50000
0.70711    0.48990    0.00000    3.50000
1.64992    0.48990    0.00000    3.16667
1.64992    0.48990    0.00000    2.16667
1.17851    1.30639    0.00000    1.83333
1.17851    1.30639    0.00000    0.83333
2.12132    -0.32660    0.00000    0.50000
0.70711    2.12289    0.00000    -0.50000
1.64992    0.48990    0.00000    -0.83333
1.64992    0.48990    0.00000    -1.83333
1.17851    1.30639    0.00000    -2.16667
1.17851    1.30639    0.00000    -3.16667
2.12132    1.30639    0.00000    -3.50000
2.12132    -0.32660    0.00000    -4.50000
1.64992    0.48990    0.00000    -4.83333
1.64992    0.48990    0.00000    -5.83333
1.17851    1.30639    0.00000    -6.16667
0.23570    1.30639    0.00000    6.16667
-0.23570    2.12289    0.00000    5.83333
-0.23570    2.12289    0.00000    4.83333
-0.70711    1.30639    0.00000    4.50000
-0.70711    1.30639    0.00000    3.50000
0.23570    1.30639    0.00000    3.16667
0.23570    1.30639    0.00000    2.16667
-0.23570    2.12289    0.00000    1.83333
-0.23570    2.12289    0.00000    0.83333
0.70711    0.48990    0.00000    0.50000
-0.70711    2.93939    0.00000    -0.50000
0.23570    1.30639    0.00000    -0.83333
0.23570    1.30639    0.00000    -1.83333
-0.23570    2.12289    0.00000    -2.16667
-0.23570    2.12289    0.00000    -3.16667
0.70711    2.12289    0.00000    -3.50000
0.70711    0.48990    0.00000    -4.50000
0.23570    1.30639    0.00000    -4.83333
0.23570    1.30639    0.00000    -5.83333
-0.23570    2.12289    0.00000    -6.16667
-1.17851    2.12289    0.00000    6.16667
-1.64992    2.93939    0.00000    5.83333
-1.64992    2.93939    0.00000    4.83333
-2.12132    2.12289    0.00000    4.50000
-2.12132    2.12289    0.00000    3.50000
-1.17851    2.12289    0.00000    3.16667
-1.17851    2.12289    0.00000    2.16667
-1.64992    2.93939    0.00000    1.83333
-1.64992    2.93939    0.00000    0.83333
-0.70711    1.30639    0.00000    0.50000
-2.12132    3.75588    0.00000    -0.50000
-1.17851    2.12289    0.00000    -0.83333
-1.17851    2.12289    0.00000    -1.83333
-1.64992    2.93939    0.00000    -2.16667
-1.64992    2.93939    0.00000    -3.16667
-0.70711    2.93939    0.00000    -3.50000
-0.70711    1.30639    0.00000    -4.50000
-1.17851    2.12289    0.00000    -4.83333
-1.17851    2.12289    0.00000    -5.83333
-1.64992    2.93939    0.00000    -6.16667
-2.59272    2.93939    0.00000    6.16667
-3.06413    3.75588    0.00000    5.83333
-3.06413    3.75588    0.00000    4.83333
-3.53553    2.93939    0.00000    4.50000
-3.53553    2.93939    0.00000    3.50000
-2.59272    2.93939    0.00000    3.16667
-2.59272    2.93939    0.00000    2.16667
-3.06413    3.75588    0.00000    1.83333
-3.06413    3.75588    0.00000    0.83333
-2.12132    2.12289    0.00000    0.50000
-3.53553    4.57238    0.00000    -0.50000
-2.59272    2.93939    0.00000    -0.83333
-2.59272    2.93939    0.00000    -1.83333
-3.06413    3.75588    0.00000    -2.16667
-3.06413    3.75588    0.00000    -3.16667
-2.12132    3.75588    0.00000    -3.50000
-2.12132    2.12289    0.00000    -4.50000
-2.59272    2.93939    0.00000    -4.83333
-2.59272    2.93939    0.00000    -5.83333
-3.06413    3.75588    0.00000    -6.16667
3.06413    1.30639    0.00000    6.16667
2.59272    2.12289    0.00000    5.83333
2.59272    2.12289    0.00000    4.83333
2.12132    1.30639    0.00000    4.50000
2.12132    1.30639    0.00000    3.50000
3.06413    1.30639    0.00000    3.16667
3.06413    1.30639    0.00000    2.16667
2.59272    2.12289    0.00000    1.83333
2.59272    2.12289    0.00000    0.83333
3.53553    0.48990    0.00000    0.50000
2.12132    2.93939    0.00000    -0.50000
3.06413    1.30639    0.00000    -0.83333
3.06413    1.30639    0.00000    -1.83333
2.59272    2.12289    0.00000    -2.16667
2.59272    2.12289    0.00000    -3.16667
3.53553    2.12289    0.00000    -3.50000
3.53553    0.48990    0.00000    -4.50000
3.06413    1.30639    0.00000    -4.83333
3.06413    1.30639    0.00000    -5.83333
2.59272    2.12289    0.00000    -6.16667
1.64992    2.12289    0.00000    6.16667
1.17851    2.93939    0.00000    5.83333
1.17851    2.93939    0.00000    4.83333
0.70711    2.12289    0.00000    4.50000
0.70711    2.12289    0.00000    3.50000
1.64992    2.12289    0.00000    3.16667
1.64992    2.12289    0.00000    2.16667
1.17851    2.93939    0.00000    1.83333
1.17851    2.93939    0.00000    0.83333
2.12132    1.30639    0.00000    0.50000
0.70711    3.75588    0.00000    -0.50000
1.64992    2.12289    0.00000    -0.83333
1.64992    2.12289    0.00000    -1.83333
1.17851    2.93939    0.00000    -2.16667
1.17851    2.93939    0.00000    -3.16667
2.12132    2.93939    0.00000    -3.50000
2.12132    1.30639    0.00000    -4.50000
1.64992    2.12289    0.00000    -4.83333
1.64992    2.12289    0.00000    -5.83333
1.17851    2.93939    0.00000    -6.16667
0.23570    2.93939    0.00000    6.16667
-0.23570    3.75588    0.00000    5.83333
-0.23570    3.75588    0.00000    4.83333
-0.70711    2.93939    0.00000    4.50000
-0.70711    2.93939    0.00000    3.50000
0.23570    2.93939    0.00000    3.16667
0.23570    2.93939    0.00000    2.16667
-0.23570    3.75588    0.00000    1.83333
-0.23570    3.75588    0.00000    0.83333
0.70711    2.12289    0.00000    0.50000
-0.70711    4.57238    0.00000    -0.50000
0.23570    2.93939    0.00000    -0.83333
0.23570    2.93939    0.00000    -1.83333
-0.23570    3.75588    0.00000    -2.16667
-0.23570    3.75588    0.00000    -3.16667
0.70711    3.75588    0.00000    -3.50000
0.70711    2.12289    0.00000    -4.50000
0.23570    2.93939    0.00000    -4.83333
0.23570    2.93939    0.00000    -5.83333
-0.23570    3.75588    0.00000    -6.16667
-1.17851    3.75588    0.00000    6.16667
-1.64992    4.57238    0.00000    5.83333
-1.64992    4.57238    0.00000    4.83333
-2.12132    3.75588    0.00000    4.50000
-2.12132    3.75588    0.00000    3.50000
-1.17851    3.75588    0.00000    3.16667
-1.17851    3.75588    0.00000    2.16667
-1.64992    4.57238    0.00000    1.83333
-1.64992    4.57238    0.00000    0.83333
-0.70711    2.93939    0.00000    0.50000
-2.12132    5.38888    0.00000    -0.50000
-1.17851    3.75588    0.00000    -0.83333
-1.17851    3.75588    0.00000    -1.83333
-1.64992    4.57238    0.00000    -2.16667
-1.64992    4.57238    0.00000    -3.16667
-0.70711    4.57238    0.00000    -3.50000
-0.70711    2.93939    0.00000    -4.50000
-1.17851    3.75588    0.00000    -4.83333
-1.17851    3.75588    0.00000    -5.83333
-1.64992    4.57238    0.00000    -6.16667
-2.59272    4.57238    0.00000    6.16667
-3.06413    5.38888    0.00000    5.83333
-3.06413    5.38888    0.00000    4.83333
-3.53553    4.57238    0.00000    4.50000
-3.53553    4.57238    0.00000    3.50000
-2.59272    4.57238    0.00000    3.16667
-2.59272    4.57238    0.00000    2.16667
-3.06413    5.38888    0.00000    1.83333
-3.06413    5.38888    0.00000    0.83333
-2.12132    3.75588    0.00000    0.50000
-3.53553    6.20537    0.00000    -0.50000
-2.59272    4.57238    0.00000    -0.83333
-2.59272    4.57238    0.00000    -1.83333
-3.06413    5.38888    0.00000    -2.16667
-3.06413    5.38888    0.00000    -3.16667
-2.12132    5.38888    0.00000    -3.50000
-2.12132    3.75588    0.00000    -4.50000
-2.59272    4.57238    0.00000    -4.83333
-2.59272    4.57238    0.00000    -5.83333
-3.06413    5.38888    0.00000    -6.16667
